                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 3.4499,                 3.3969,                 1.1811,                0.01032,                0.03846,                0.00148,                0.00059,                 4.0173,                 6.4696,                 1.4989,               0.007855,               0.007855,               0.007855
                     67,                 3.5151,                 3.5103,                 1.1929,                0.02697,                0.03846,                0.00341,                0.00136,                 3.8158,                 6.0247,                 1.3498,               0.007822,               0.007822,               0.007822
                     68,                 3.5212,                 3.4829,                 1.1174,                 0.0487,                0.03846,                0.00461,                0.00138,                 3.9442,                 6.2579,                 1.3149,               0.007789,               0.007789,               0.007789
                     69,                 3.6543,                 3.4756,                 1.1347,                 0.0487,                0.03846,                0.00461,                0.00138,                 3.9442,                 6.2579,                 1.3149,               0.007756,               0.007756,               0.007756
                     70,                  3.463,                 3.3985,                 1.1575,                0.08647,                0.03846,                0.01359,                0.00255,                 3.9476,                 6.3597,                  1.246,               0.007723,               0.007723,               0.007723
                     71,                 3.6299,                 3.6652,                 1.2028,                0.23094,                0.07692,                0.03069,                0.00828,                 3.8012,                  6.732,                 1.2383,                0.00769,                0.00769,                0.00769
                     72,                 3.7419,                 3.4876,                 1.1586,                0.43111,                0.07692,                0.05574,                0.01822,                   3.69,                 7.8726,                 1.2323,               0.007657,               0.007657,               0.007657
                     73,                 3.6953,                 3.4423,                 1.1586,                0.43111,                0.07692,                0.05574,                0.01822,                   3.69,                 7.8726,                 1.2323,               0.007624,               0.007624,               0.007624
                     74,                 3.5917,                 3.4299,                 1.1524,                0.36351,                0.07692,                0.05679,                0.01295,                  3.585,                 8.8192,                 1.1925,               0.007591,               0.007591,               0.007591
                     75,                 3.6326,                 3.6163,                 1.1601,                0.45017,                0.07692,                0.08685,                0.01592,                 3.7497,                 9.0703,                  1.186,               0.007558,               0.007558,               0.007558
                     76,                 3.4782,                  3.428,                 1.1808,                0.50177,                0.07692,                0.07413,                0.01169,                 4.0503,                 9.0223,                  1.213,               0.007525,               0.007525,               0.007525
                     77,                 3.6475,                 3.4612,                 1.1525,                0.50177,                0.07692,                0.07413,                0.01169,                 4.0503,                 9.0223,                  1.213,               0.007492,               0.007492,               0.007492
                     78,                 3.6301,                 3.3821,                 1.1439,                0.56408,                0.07692,                0.06997,                0.00743,                 4.0648,                 9.4362,                 1.2182,               0.007459,               0.007459,               0.007459
                     79,                 3.6866,                 3.6382,                 1.1977,                0.64928,                0.07692,                0.06575,                0.00835,                  3.883,                 9.5364,                 1.1829,               0.007426,               0.007426,               0.007426
                     80,                 3.9411,                 3.6228,                 1.1839,                0.26845,                0.03846,                0.04558,                0.00958,                 3.8984,                 7.7322,                 1.1355,               0.007393,               0.007393,               0.007393
                     81,                 3.4382,                 3.3819,                 1.1632,                0.26845,                0.03846,                0.04558,                0.00958,                 3.8984,                 7.7322,                 1.1355,                0.00736,                0.00736,                0.00736
                     82,                  3.695,                 3.3542,                 1.1884,                0.45127,                0.03846,                0.03651,                0.01448,                 4.2613,                 7.2493,                 1.1804,               0.007327,               0.007327,               0.007327
                     83,                  3.315,                 3.5783,                 1.2297,                0.36428,                0.03846,                0.03578,                0.01773,                 4.4442,                 7.3455,                 1.1923,               0.007294,               0.007294,               0.007294
                     84,                 3.4608,                 3.4934,                 1.1439,                0.29044,                0.03846,                0.03523,                0.01762,                 4.6209,                 7.0056,                 1.2173,               0.007261,               0.007261,               0.007261
                     85,                 3.2837,                 3.3954,                 1.1755,                0.29044,                0.03846,                0.03523,                0.01762,                 4.6209,                 7.0056,                 1.2173,               0.007228,               0.007228,               0.007228
                     86,                 3.4385,                 3.4607,                 1.2316,                0.48805,                0.03846,                0.03578,                0.01062,                 4.8331,                 7.0509,                 1.2217,               0.007195,               0.007195,               0.007195
                     87,                 3.2958,                 3.3965,                 1.2111,                0.48998,                0.03846,                0.03665,                0.01115,                 4.3517,                  6.481,                 1.1725,               0.007162,               0.007162,               0.007162
