                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                 2.0541,                 2.6336,                 1.3108,                      1,                0.07645,                0.09022,                0.04395,                 2.4228,                 3.9259,                 1.5366,               0.005776,               0.005776,               0.005776
                    130,                 2.1264,                 2.7581,                  1.343,                0.20809,                0.11538,                0.09108,                0.05197,                 2.3442,                 3.9985,                 1.4737,               0.005743,               0.005743,               0.005743
                    131,                 2.1962,                 2.8422,                 1.2946,                0.29738,                0.11538,                0.09772,                0.05529,                  2.363,                 3.9362,                 1.4998,                0.00571,                0.00571,                0.00571
                    132,                 2.1727,                 2.7375,                 1.3278,                0.47507,                0.11538,                0.10392,                0.05871,                 2.3877,                 3.6822,                 1.5067,               0.005677,               0.005677,               0.005677
                    133,                 2.0846,                 2.7681,                  1.274,                0.47507,                0.11538,                0.10392,                0.05871,                 2.3877,                 3.6822,                 1.5067,               0.005644,               0.005644,               0.005644
                    134,                 2.0464,                 2.8102,                 1.3134,                0.38512,                0.11538,                0.10542,                0.05567,                 2.4289,                 3.6219,                 1.5174,               0.005611,               0.005611,               0.005611
                    135,                 2.1068,                 2.5216,                 1.2233,                0.23834,                0.11538,                0.08304,                0.03785,                 2.5143,                 3.7562,                 1.5574,               0.005578,               0.005578,               0.005578
                    136,                 2.3756,                 2.7691,                 1.3279,                0.15537,                0.11538,                0.05783,                 0.0277,                 2.6131,                 3.9045,                 1.6177,               0.005545,               0.005545,               0.005545
                    137,                 2.1537,                 2.9236,                 1.2956,                0.15537,                0.11538,                0.05783,                 0.0277,                 2.6131,                 3.9045,                 1.6177,               0.005512,               0.005512,               0.005512
                    138,                 2.0886,                 2.7002,                 1.2583,                0.93069,                0.03846,                0.04665,                0.02083,                 2.7063,                 3.9691,                 1.6662,               0.005479,               0.005479,               0.005479
                    139,                 2.2341,                 2.8656,                 1.2702,                0.92609,                0.03846,                0.04416,                0.02007,                 2.7147,                 3.9551,                 1.6323,               0.005446,               0.005446,               0.005446
                    140,                  2.139,                 2.9104,                 1.2493,                0.90632,                0.03846,                0.04573,                0.02101,                 2.6364,                 3.8471,                  1.562,               0.005413,               0.005413,               0.005413
                    141,                 1.9632,                 2.6057,                 1.2917,                0.90632,                0.03846,                0.04573,                0.02101,                 2.6364,                 3.8471,                  1.562,                0.00538,                0.00538,                0.00538
                    142,                 1.9981,                 2.8181,                 1.2912,                0.89252,                0.03846,                0.04818,                0.02616,                 2.4994,                  3.767,                  1.494,               0.005347,               0.005347,               0.005347
                    143,                  2.066,                 2.8772,                 1.4154,                0.90035,                0.03846,                0.05305,                0.02929,                 2.4209,                 3.6188,                 1.5026,               0.005314,               0.005314,               0.005314
                    144,                 1.9694,                 2.9384,                 1.2274,                0.09247,                0.07692,                 0.0591,                0.03322,                 2.4101,                 3.4149,                 1.5585,               0.005281,               0.005281,               0.005281
                    145,                 2.2381,                 2.8939,                 1.2491,                0.09247,                0.07692,                 0.0591,                0.03322,                 2.4101,                 3.4149,                 1.5585,               0.005248,               0.005248,               0.005248
                    146,                 2.1595,                 2.9949,                 1.2334,                0.40845,                0.07692,                0.08788,                0.04233,                  2.376,                 3.2989,                 1.5452,               0.005215,               0.005215,               0.005215
                    147,                 2.1109,                 2.7913,                 1.2849,                0.59311,                0.07692,                0.09039,                0.04223,                 2.4087,                 3.2301,                  1.561,               0.005182,               0.005182,               0.005182
                    148,                 2.0622,                 2.7077,                 1.3814,                0.23277,                0.11538,                0.10985,                0.05747,                  2.509,                 3.2034,                 1.5805,               0.005149,               0.005149,               0.005149
                    149,                 2.0327,                 2.6819,                 1.3254,                0.23277,                0.11538,                0.10985,                0.05747,                  2.509,                 3.2034,                 1.5805,               0.005116,               0.005116,               0.005116
                    150,                 2.4753,                 3.0722,                 1.2109,                0.90557,                0.07692,                0.09391,                0.05413,                 2.5931,                 3.2125,                 1.5976,               0.005083,               0.005083,               0.005083
                    151,                  2.176,                 2.6844,                 1.2678,                0.21377,                0.15385,                0.10993,                0.05638,                 2.6363,                 3.2891,                 1.5837,                0.00505,                0.00505,                0.00505
                    152,                 2.2355,                 2.9584,                 1.2783,                 0.5765,                0.07692,                 0.0793,                0.04388,                 2.6858,                 3.4872,                 1.5858,               0.005017,               0.005017,               0.005017
